Fiscal _Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,Return_To_Prison,Recidivism_Type,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype
2010,2013,35-44,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,45-54,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,45-54,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,C Felony,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,American Indian or Alaska Native - Non-Hispanic,Male,D Felony,Drug,Other Drug,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,660,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,35-44,558,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,570,Discharged or End of Sentence,Black - Non-Hispanic,Male,C Felony,Violent,Other Violent,Yes,New,D Felony,Property,Forgery/Fraud
2010,2013,25-34,659,Parole,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,Under 25,0,Parole,Black - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Asian or Pacific Islander - Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,865,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,Yes,New,D Felony,Property,Burglary
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,585,Parole,White - Non-Hispanic,Female,C Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,Under 25,149,Special Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Sex,Yes,Tech,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,American Indian or Alaska Native - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,35-44,0,Special Sentence,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,55 and Older,0,Parole,White - Non-Hispanic,Male,Felony - Enhanced,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,Black - Non-Hispanic,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,Black - Non-Hispanic,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Public Order,OWI,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Public Order,OWI,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Public Order,OWI,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,45-54,0,Parole,White - Hispanic,Male,Felony - Enhanced,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,Under 25,699,Parole,Black - Non-Hispanic,Female,C Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,Under 25,386,Parole,White - Non-Hispanic,Male,C Felony,Violent,Assault,Yes,Tech,0,0,0
2010,2013,25-34,288,Special Sentence,White - Non-Hispanic,Male,C Felony,Violent,Sex,Yes,Tech,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,25-34,300,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,45-54,0,Parole,Black - Non-Hispanic,Male,D Felony,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,25-34,224,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,Yes,New,B Felony,Violent,Other Violent
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,Under 25,224,Parole,White - Non-Hispanic,Male,D Felony,Property,Burglary,Yes,New,Aggravated Misdemeanor,Property,Burglary
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Public Order,Traffic,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Public Order,Traffic,No,No Recidivism,0,0,0
2010,2013,Under 25,909,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,Under 25,298,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Public Order,Sex Offender Registry/Residency,Yes,New,D Felony,Public Order,Other Public Order
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Female,C Felony,Property,Theft,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Parole,White - Non-Hispanic,Female,D Felony,Drug,Other Drug,No,No Recidivism,0,0,0
2010,2013,45-54,661,Discharged or End of Sentence,White - Non-Hispanic,Female,Aggravated Misdemeanor,Violent,Assault,Yes,New,Aggravated Misdemeanor,Property,Theft
2010,2013,55 and Older,0,Parole,White - Non-Hispanic,Male,C Felony,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,25-34,440,Parole,Black - Non-Hispanic,Female,Felony - Enhanced,Property,Forgery/Fraud,Yes,New,Aggravated Misdemeanor,Property,Theft
2010,2013,35-44,547,Discharged or End of Sentence,White - Hispanic,Male,D Felony,Violent,Assault,Yes,New,C Felony,Property,Burglary
2010,2013,35-44,826,Discharged or End of Sentence,Black - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,Traffic,Yes,New,Aggravated Misdemeanor,Public Order,Weapons
2010,2013,45-54,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,OWI,No,No Recidivism,0,0,0
2010,2013,35-44,472,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,45-54,0,Parole,White - Non-Hispanic,Male,Felony - Enhanced,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,American Indian or Alaska Native - Non-Hispanic,Male,D Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,35-44,0,Special Sentence,White - Non-Hispanic,Male,C Felony,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,Felony - Enhanced,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,Under 25,237,Special Sentence,Black - Non-Hispanic,Male,D Felony,Property,Burglary,Yes,Tech,0,0,0
2010,2013,25-34,217,Parole,White - Non-Hispanic,Female,C Felony,Property,Theft,Yes,Tech,0,0,0
2010,2013,35-44,0,Parole,Black - Non-Hispanic,Male,B Felony,Violent,Robbery,No,No Recidivism,0,0,0
2010,2013,45-54,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Female,D Felony,Property,Theft,No,No Recidivism,0,0,0
2010,2013,45-54,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,45-54,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,45-54,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,45-54,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,45-54,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,45-54,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,45-54,0,Parole,White - Non-Hispanic,Female,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,55 and Older,0,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,55 and Older,0,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,55 and Older,0,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,55 and Older,0,Special Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,Under 25,788,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Burglary,Yes,New,Other Misdemeanor,Public Order,Other Public Order
2010,2013,55 and Older,346,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,Yes,New,C Felony,Drug,Trafficking
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Kidnap,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Kidnap,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Hispanic,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,45-54,108,Parole,White - Non-Hispanic,Male,D Felony,Property,Burglary,Yes,New,D Felony,Property,Burglary
2010,2013,25-34,494,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Property,Burglary,Yes,New,C Felony,Violent,Sex
2010,2013,25-34,402,Parole,White - Hispanic,Male,D Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,752,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,New,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,45-54,672,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Other Violent,Yes,New,D Felony,Violent,Assault
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,B Felony,Violent,Robbery,No,No Recidivism,0,0,0
2010,2013,35-44,254,Discharged or End of Sentence,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,Yes,New,C Felony,Drug,Trafficking
2010,2013,55 and Older,163,Parole,White - Non-Hispanic,Male,D Felony,Public Order,OWI,Yes,Tech,0,0,0
2010,2013,25-34,693,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,Yes,New,Aggravated Misdemeanor,Other,Animals
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,25-34,434,Discharged or End of Sentence,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,Yes,New,D Felony,Drug,Drug Possession
2010,2013,35-44,784,Parole,White - Non-Hispanic,Male,D Felony,Property,Theft,Yes,New,Aggravated Misdemeanor,Property,Forgery/Fraud
2010,2013,45-54,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,Aggravated Misdemeanor,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,45-54,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,Aggravated Misdemeanor,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,45-54,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,45-54,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,Under 25,875,Discharged or End of Sentence,Black - Non-Hispanic,Female,Aggravated Misdemeanor,Violent,Assault,Yes,New,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,45-54,0,Parole,Black - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,Traffic,No,No Recidivism,0,0,0
2011,2014,45-54,203,Parole,White - Non-Hispanic,Male,D Felony,Violent,Assault,Yes,Tech,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,White - Non-Hispanic,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,White - Non-Hispanic,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,White - Non-Hispanic,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,White - Non-Hispanic,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,45-54,0,Parole,White - Hispanic,Male,C Felony,Property,Theft,No,No Recidivism,0,0,0
2010,2013,35-44,325,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Drug,Drug Possession,Yes,New,D Felony,Drug,Drug Possession
2010,2013,Under 25,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Hispanic,Male,D Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Parole,White - Non-Hispanic,Female,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Asian or Pacific Islander - Non-Hispanic,Male,D Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,25-34,378,Discharged or End of Sentence,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,New,Felony - Enhancement to Original Penalty,Drug,Trafficking
2010,2013,35-44,0,Discharged or End of Sentence,White - Non-Hispanic,Male,B Felony,Other,Other Criminal,No,No Recidivism,0,0,0
2010,2013,45-54,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Felony - Enhanced,Violent,Robbery,No,No Recidivism,0,0,0
2010,2013,35-44,1080,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,25-34,486,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Assault,Yes,New,Aggravated Misdemeanor,Public Order,OWI
2010,2013,35-44,742,Parole,White - Non-Hispanic,Male,Felony - Enhanced,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,45-54,0,Parole,White - Non-Hispanic,Male,Sexual Predator Community Supervision,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,D Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,D Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Other,Other Criminal,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,C Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,American Indian or Alaska Native - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,American Indian or Alaska Native - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,American Indian or Alaska Native - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Parole,White - Non-Hispanic,Male,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,45-54,194,Discharged or End of Sentence,Black - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Assault,Yes,New,C Felony,Property,Burglary
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Female,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
